year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1699,+1,00,00,-1,00,00,00,+1,+2,-1,00,00
1700,-1,00,-1,+1,+2,+1,00,00,00,-1,00,00
1701,00,00,00,-2,00,00,+1,00,00,-1,00,00
1702,+2,+1,+2,-1,00,00,00,00,00,00,-2,+1
1703,-2,00,-1,00,00,-1,00,-1,-1,00,00,+1
1704,-2,00,-1,00,00,-1,00,00,00,00,00,00
1705,-2,-1,-1,00,-2,-2,00,+2,00,00,-1,+1
1706,-1,-1,-1,00,00,+2,00,+1,+1,00,+2,+1
1707,+1,00,00,+2,00,+2,+1,+1,00,-1,00,+2
1708,+2,+2,00,00,00,00,-1,-1,00,-2,-2,-3
1709,-3,-3,-1,+1,-1,00,00,-1,00,00,00,00
1710,00,00,00,-1,00,00,-1,00,00,00,+1,+3
1711,+2,00,00,00,+3,+3,+2,00,-1,-1,00,00
1712,-1,00,-1,-1,-1,-1,00,00,-2,00,00,00
1713,-1,+2,-1,-2,-2,-1,-2,00,+1,00,-2,+1
1714,00,-1,-1,-2,-1,-2,00,-1,00,00,00,00
1715,-1,+2,+1,+2,00,+1,00,00,-1,00,00,-2
1716,-3,00,00,00,00,-1,00,-1,-2,-1,-1,00
1717,-1,+2,00,00,-1,00,-1,-1,00,00,-2,00
1718,-1,-1,00,00,00,00,00,+2,00,-1,00,00
1719,00,00,00,-2,00,00,+2,+2,00,-1,00,00
1720,00,00,-1,-1,00,-2,00,-2,00,-1,00,00
1721,+1,-1,-2,00,-1,00,-1,00,00,-1,00,+1
1722,+2,+2,00,-1,00,00,-1,-1,00,00,00,+1
1723,+1,00,+1,00,00,+2,+2,+1,00,00,+2,+1
1724,+3,+2,00,-1,00,+1,-1,+2,+1,-1,00,00
1725,00,+2,00,-1,-1,-1,-2,-2,-2,-1,-2,+1
1726,-2,-2,-2,-1,+3,00,+1,-2,00,00,00,-1
1727,+1,00,-2,-1,+2,00,+1,+2,+2,+1,-1,00
1728,+1,-1,+2,00,+1,+1,+1,+2,+1,00,-2,-2
1729,-2,-2,-2,-1,-1,+1,+1,+1,+2,+1,00,+1
1730,+1,+2,-1,00,-1,00,-1,-1,00,-2,+2,-1
1731,-1,-1,-2,-1,-1,+1,+1,+1,00,+2,+1,00
1732,00,00,+1,+1,00,-2,-2,00,-1,+1,-1,-1
1733,-2,00,00,-1,-1,-2,+2,+1,-1,-1,00,+2
1734,+1,+2,00,+2,+2,+1,+2,+1,-1,00,-2,00
1735,+1,00,+2,+2,-2,+1,-1,+1,+1,-2,-1,+1
1736,+2,00,-1,00,-1,-1,+1,+1,+1,00,00,+1
1737,+2,+1,-1,-2,+1,00,+2,-2,-1,00,00,00
1738,00,00,00,00,-2,+1,+1,+1,+1,00,-2,+1
1739,00,+1,-2,-1,00,-1,+1,-1,00,-3,-3,00
1740,-3,-3,-2,-2,-2,-1,-1,-2,+2,-2,-2,00
1741,00,+2,-1,-1,-1,-1,-1,-1,00,+1,+1,00
1742,+1,+1,-1,-2,-2,00,-1,-2,-2,-1,00,-1
1743,00,+2,00,-3,00,00,00,00,00,-1,+2,+1
1744,-2,-2,-1,+1,-1,00,+1,-1,-1,-1,+1,+1
1745,-2,-1,-2,-1,00,00,+1,+1,00,+1,+1,-1
1746,+2,00,-2,-2,+1,00,+2,00,00,-1,-1,+1
1747,+1,+3,-2,+1,-1,+1,+1,+1,+1,+1,+1,+1
1748,00,-1,-2,-2,-1,+2,+2,+2,+1,+1,+2,+2
1749,+2,00,-2,-2,00,-2,+1,+2,00,+1,+1,+1
1750,00,+1,+2,00,00,00,+1,00,+1,-1,-1,00
1751,00,-1,+1,-1,+1,+1,-1,+1,-1,-1,-1,00
1752,00,00,00,00,-1,00,00,00,00,00,00,00
1753,-2,00,+1,-1,00,+1,00,-2,00,00,-1,+1
1754,00,00,-2,-1,00,00,-1,00,00,00,+1,00
1755,-2,-2,-1,+2,-1,+1,00,-1,-1,-1,00,+1
1756,+1,+1,00,-1,-1,+1,+1,-1,+1,00,-1,-1
1757,-1,00,00,+1,00,00,+2,00,-2,-3,+1,00
1758,-1,00,00,-1,+1,00,-2,00,-1,-1,00,00
1759,+1,+1,+1,00,00,00,+1,00,00,+1,-2,-1
1760,00,00,00,+1,00,00,00,-1,00,00,00,+1
1761,00,+1,+1,00,+1,+1,-1,+1,+1,-2,00,-2
1762,+1,00,-2,+2,+1,00,00,-1,00,-2,-1,-2
1763,-2,+1,-1,-1,-1,00,00,+1,-1,-1,00,+1
1764,+1,+1,-1,-1,+1,00,+1,-1,-2,-1,-1,00
1765,+1,-2,+1,00,-1,00,-1,00,-1,+1,00,-1
1766,-1,-1,00,+1,+1,00,00,00,00,00,00,-1
1767,-2,+1,00,-1,-1,-1,00,00,00,00,+2,-1
1768,-1,00,-1,00,00,00,00,00,-1,00,+1,00
1769,00,00,00,00,00,-1,00,-1,00,-3,00,00
1770,00,00,-2,-2,00,-1,-1,00,+1,00,00,+1
1771,00,-1,-2,-3,+2,00,00,-1,00,00,-1,+1
1772,00,00,00,-1,-2,+1,00,00,+1,+2,+1,00
1773,+1,-1,00,00,00,00,-1,00,+1,+1,00,+1
1774,00,00,+1,+1,00,+1,00,00,-1,00,-3,-1
1775,00,+1,+1,-1,-1,+2,00,+1,+1,00,-1,00
1776,-3,+1,+1,00,-1,00,00,00,-1,-1,-1,-1
1777,-1,-1,00,-2,00,-1,-1,00,-1,00,+1,-1
1778,00,-1,00,+1,+1,00,+2,+1,-1,-1,+1,+2
1779,-1,+1,+1,+2,+1,-1,00,+1,+2,+2,+1,+1
1780,-1,-1,+2,-1,+1,00,00,+1,00,+1,00,-1
1781,00,00,+1,+1,+1,+2,+1,+2,+2,00,00,00
1782,+1,-2,-1,-1,00,+1,+1,00,+1,-1,-2,00
1783,+1,+1,-1,+1,+1,+1,+2,+1,+1,+1,00,-1
1784,-2,-2,-1,-2,+1,+1,00,00,+1,-2,00,-1
1785,00,-1,-3,-2,00,-1,-1,-1,+2,00,00,00
1786,00,00,-2,+1,-1,+1,-2,-1,-1,-2,-3,00
1787,-1,00,+1,-1,-1,+1,-1,00,00,+1,00,+1
1788,+1,00,00,00,+1,+1,+1,-1,+1,00,-2,-3
1789,-1,+1,-3,00,+2,-1,00,00,00,00,00,+1
1790,00,+1,00,-1,+1,+1,-1,00,-1,00,-1,+1
1791,+1,00,00,+1,-1,00,00,+1,-1,00,-1,00
1792,00,-1,00,+1,-1,00,00,+1,-1,-1,-1,00
1793,-1,+1,00,-1,-1,-1,+1,+1,-1,+1,00,+1
1794,00,+1,+2,+2,00,+1,+2,00,-1,00,00,-1
1795,-3,00,-1,+1,-1,+1,-2,00,+1,+2,-1,+1
1796,+2,00,-2,00,+1,00,00,+1,+2,00,-1,-1
1797,00,00,-1,+1,+1,-1,+1,+1,+1,00,00,+1
1798,00,+1,00,+1,+1,+1,00,+1,+1,00,00,-2
1799,-2,-1,-1,-1,-1,-1,-1,00,00,00,00,-2
1800,00,-1,-2,+3,+2,-2,-1,+1,+1,-1,+1,00
1801,+1,00,+1,00,+1,-1,-1,00,+1,+1,00,00
1802,-1,00,00,00,-1,00,-1,+2,00,+2,00,00
1803,-2,-2,-1,+2,-2,-1,+1,+1,-2,-1,00,00
1804,+1,-1,-2,-1,+1,00,00,-1,+1,00,-2,-2
1805,-1,-1,-1,-1,-2,-2,-2,-1,00,-3,-2,00
1806,+1,+1,00,-2,+1,-1,-1,00,00,-1,+1,+2
1807,00,00,-2,-1,+1,-1,+1,+3,-1,+1,00,00
1808,00,-1,-3,-2,+2,-1,+1,+1,00,-2,-1,-2
1809,-1,+1,-1,-3,+1,-1,-1,00,00,-1,-1,+1
1810,-1,-1,00,-1,-1,-2,-1,00,+2,-1,00,+1
1811,-2,00,+1,00,+3,+3,+1,00,00,+2,+1,00
1812,-1,00,-1,-1,00,00,-2,-1,-1,+1,-2,-3
1813,-1,+1,00,+1,00,-1,-1,-2,-1,-1,-1,00
1814,-1,-3,-2,+1,-2,-2,00,-1,-2,-1,00,+1
1815,-1,+1,+1,00,+1,00,-2,-1,-1,00,-1,-1
1816,00,-1,-1,00,-1,-2,-2,-2,-1,-1,-2,-1
1817,+1,+1,00,-3,-1,+1,-1,-1,+1,-2,+1,00
1818,+1,00,00,+1,-1,+1,00,-1,00,00,+1,-1
1819,+1,+1,+1,+1,+1,+1,+1,+1,+1,-1,-1,-1
1820,-2,00,-1,+1,+1,-2,-1,+1,-1,00,-2,-1
1821,00,-1,00,+2,-1,-3,-2,00,+1,00,+2,+1
1822,+1,+1,+2,+1,+1,+2,00,00,00,+1,+1,-1
1823,-3,00,00,-1,+1,-1,-1,+1,00,00,00,+1
1824,+1,+1,00,-1,00,-1,00,00,+1,00,+1,+2
1825,+1,00,-1,+1,00,00,00,00,+1,00,+1,+1
1826,-2,00,00,00,-1,+1,+2,+3,+1,+1,00,+1
1827,00,-2,+1,+1,+1,+1,+1,-1,00,+1,-2,+1
1828,00,-1,00,+1,00,+1,+1,-1,00,00,00,+1
1829,-2,-2,-1,00,00,-1,00,-2,-1,-1,-2,-3
1830,-3,-2,00,+1,00,00,00,00,-1,-1,+1,00
1831,-1,00,00,+1,00,-1,00,00,-1,+2,00,00
1832,00,00,00,00,-1,-1,-1,+1,-1,00,-1,00
1833,-1,+1,-1,-1,+2,+1,-1,-3,-1,00,00,+2
1834,+2,00,00,-1,+2,+1,+2,+2,+2,00,00,00
1835,00,+1,00,-1,00,00,+1,00,00,-1,-2,-1
1836,00,00,+2,00,-2,00,00,-1,-1,00,00,+1
1837,00,00,-2,-2,-2,00,-1,+1,-1,00,00,00
1838,-3,-2,00,-2,00,00,-1,-2,00,-1,-1,00
